x1,y1,z1,x2,y2,z2,theta,phi,0.3um/s,0.5,1,1.5,2,2.5,3
0,0,10.33,0,0,40.33,0,0,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
3.35,0,3.35,24.56,0,24.56,45,0,0.53288442,0.54008567,0.54835325,0.54581881,0.53772497,0.52818382,0.51927066
4.74,0,0,34.74,0,0,90,0,0.53000361,0.54092669,0.55843687,0.56415015,0.56297988,0.55925566,0.55536246
7.3,0,-7.3,28.52,0,-28.52,135,0,0.59550589,0.6026563,0.612387,0.61263192,0.60755956,0.60072058,0.59406084
0,0,-10.33,0,0,-40.33,180,0,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
0,0,10.33,0,0,40.33,0,45,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
2.46,2.46,3.48,17.46,17.46,24.69,45,45,0.54131675,0.54555339,0.54661298,0.5377875,0.52449322,0.51061881,0.49795821
3.22,3.22,0,24.43,24.43,0,90,45,0.54376793,0.54917014,0.55267596,0.54530495,0.53251767,0.51848036,0.50524229
3.91,3.91,-5.53,18.91,18.91,-26.74,135,45,0.5779953,0.58067012,0.57866263,0.56761175,0.5524708,0.53685349,0.52246094
0,0,-10.33,0,0,-40.33,180,45,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
0,0,10.33,0,0,40.33,0,90,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
0,4.04,4.04,0,25.25,25.25,45,90,0.56210554,0.55939937,0.54493016,0.52417952,0.5023579,0.48237801,0.4651151
0,4.39,0,0,34.39,0,90,90,0.51688707,0.51241338,0.49274731,0.46660048,0.44000152,0.41615307,0.39587358
0,4.04,-4.04,0,25.25,-25.25,135,90,0.56340605,0.55821365,0.53801018,0.51242959,0.48671699,0.46364406,0.44390124
0,0,-10.33,0,0,-40.33,180,90,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
0,0,10.33,0,0,40.33,0,135,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
-3.91,3.91,5.53,-18.91,18.91,26.74,45,135,0.59060556,0.58155876,0.55474925,0.5265519,0.50085318,0.47902656,0.46088666
-3.22,3.22,0,-24.43,24.43,0,90,135,0.53213918,0.51972961,0.48477614,0.44977492,0.41902292,0.39365372,0.37305635
-2.46,2.46,-3.48,-17.46,17.46,-24.69,135,135,0.56030172,0.54944235,0.51791185,0.48530605,0.45595723,0.43131158,0.41105124
0,0,-10.33,0,0,-40.33,180,135,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
0,0,10.33,0,0,40.33,0,180,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
-7.3,0,7.3,-28.52,0,28.52,45,180,0.57718205,0.5648101,0.53202993,0.50087851,0.47427335,0.45263109,0.43515491
-4.74,0,0,-34.74,0,0,90,180,0.54536557,0.52999705,0.49033689,0.45370087,0.42305011,0.39845809,0.37875783
-3.35,0,-3.35,-24.56,0,-24.56,135,180,0.5397647,0.52627462,0.48956937,0.45381817,0.42286575,0.3975347,0.37705705
0,0,-10.33,0,0,-40.33,180,180,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
0,0,10.33,0,0,40.33,0,225,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
-3.91,-3.91,5.53,-18.91,-18.91,26.74,45,225,0.53705472,0.52695823,0.49733278,0.46656924,0.43889448,0.41570663,0.39669853
-3.22,-3.22,0,-24.43,-24.43,0,90,225,0.54299724,0.53062493,0.49612817,0.46189073,0.43196353,0.40734035,0.38736641
-2.46,-2.46,-3.48,-17.46,-17.46,-24.69,135,225,0.56807983,0.55727684,0.5260185,0.49378306,0.46481568,0.44052204,0.42057756
0,0,-10.33,0,0,-40.33,180,225,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
0,0,10.33,0,0,40.33,0,270,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
0,-4.04,4.04,0,-25.25,25.25,45,270,0.56226897,0.55968231,0.54548711,0.52495039,0.5032742,0.4833841,0.46617347
0,-4.39,0,0,-34.39,0,90,270,0.52953005,0.52508503,0.50572723,0.48007402,0.45398709,0.4305841,0.41066548
0,-4.04,-4.04,0,-25.25,-25.25,135,270,0.55655676,0.5513429,0.53095323,0.50505394,0.47896713,0.45552173,0.43543664
0,0,-10.33,0,0,-40.33,180,270,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
0,0,10.33,0,0,40.33,0,315,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
2.46,-2.46,3.48,17.46,-17.46,24.69,45,315,0.56880105,0.5727607,0.57364833,0.5652256,0.55260938,0.539451,0.52742642
3.22,-3.22,0,24.43,-24.43,0,90,315,0.5433225,0.54867476,0.55199873,0.54442793,0.53146762,0.5172919,0.50394231
3.91,-3.91,-5.53,18.91,-18.91,-26.74,135,315,0.56092733,0.5637356,0.56171227,0.55025679,0.53452373,0.51828796,0.50333202
0,0,-10.33,0,0,-40.33,180,315,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
0,0,10.33,0,0,40.33,0,360,0.55874181,0.5575071,0.54723155,0.53085577,0.51312637,0.49682522,0.48288462
3.35,0,3.35,24.56,0,24.56,45,360,0.53288442,0.54008567,0.54835325,0.54581881,0.53772497,0.52818382,0.51927066
4.74,0,0,34.74,0,0,90,360,0.53000361,0.54092669,0.55843687,0.56415015,0.56297988,0.55925566,0.55536246
7.3,0,-7.3,28.52,0,-28.52,135,360,0.5425536,0.54975045,0.55864537,0.55703163,0.54962641,0.54041445,0.53156304
0,0,-10.33,0,0,-40.33,180,360,0.57795173,0.57204485,0.5511409,0.52586782,0.50084746,0.47850621,0.45942298
